base_model,quant_model,base_time_s,quant_time_s,time_change_pct,base_wps,quant_wps,wps_change_pct,base_memory_mb,quant_memory_mb,memory_change_pct
llama3.2:3b,llama3.2:3b-instruct-q4_K_M,41.306,38.253,-7.39,3.968,4.445,12.02,0.009,0.01,11.11
phi3.5,phi3.5:3.8b-mini-instruct-q5_K_M,92.109,37.083,-59.74,2.787,1.924,-30.97,0.002,-0.006,-400.0
